student_id,grade_math,grade_science,grade_english,Final_score
466,54,41,15,36
467,3,23,35,20
468,15,75,6,32
469,31,7,62,33
470,80,13,39,44
471,72,91,97,86
472,90,98,67,85
473,79,23,65,55
474,61,46,69,58
475,52,16,45,37
476,69,20,41,43
477,90,2,78,56
478,72,31,74,59
479,51,99,99,83
480,31,35,24,30
481,57,21,23,33
482,25,61,66,50
483,30,100,96,75
484,54,24,67,48
485,5,85,26,38
486,90,76,7,57
487,29,30,67,42
488,12,2,22,12
489,81,100,68,83
490,80,60,37,59
491,1,51,50,34
492,11,18,98,42
493,22,28,22,24
494,56,12,39,35
495,55,72,13,46
496,32,89,38,53
497,75,7,89,57
498,70,97,66,77
499,78,88,68,78
500,42,63,46,50
501,23,96,92,70
502,48,59,8,38
503,81,39,16,45
504,45,58,24,42
505,44,52,17,37
506,61,92,47,66
507,92,52,58,67
508,58,84,69,70
509,21,22,92,45
510,54,96,52,67
511,26,10,29,21
512,55,78,44,59
513,44,31,72,49
514,24,59,75,52
515,7,64,30,33
516,71,2,69,47
517,60,25,39,41
518,12,79,4,31
519,53,100,36,63
520,55,46,86,62
521,50,98,7,51
522,84,75,74,77
523,32,99,7,46
524,57,16,35,36
525,87,45,52,61
526,42,74,63,59
527,24,49,94,55
528,17,40,69,42
529,85,52,43,60
530,73,24,55,50
531,78,98,88,88
532,38,29,62,43
533,3,87,47,45
534,30,36,43,36
535,52,5,43,33
536,28,31,65,41
537,59,58,91,69
538,5,90,52,49
539,29,90,29,49
540,18,11,83,37
541,36,15,20,23
542,37,16,99,50
543,74,47,25,48
544,60,98,37,65
545,61,59,39,53
546,27,26,2,18
547,89,84,39,70
548,22,83,85,63
549,89,39,92,73
550,46,94,84,74
551,0,98,51,49
552,80,51,13,48
553,59,79,51,63
554,22,59,63,48
555,23,86,34,47
556,36,91,37,54
557,84,79,84,82
558,71,72,86,76
559,99,67,27,64
560,3,49,49,33
561,91,21,6,39
562,72,44,38,51
563,21,51,42,38
564,72,21,93,62
565,22,51,65,46
566,4,81,81,55
567,35,5,14,18
568,27,87,16,43
569,13,53,35,33
570,93,95,29,72
571,28,96,22,48
572,17,98,34,49
573,68,95,82,81
574,5,62,86,51
575,96,92,1,63
576,76,89,96,87
577,97,71,15,61
578,18,3,45,22
579,23,28,26,25
580,16,30,50,32
581,94,87,64,81
582,49,1,11,20
583,22,93,100,71
584,97,66,75,79
585,94,80,57,77
586,58,58,73,63
587,12,12,97,40
588,70,85,10,55
589,1,61,25,29
590,29,38,20,29
591,43,95,63,67
592,81,28,18,42
593,61,24,69,51
594,81,62,45,62
595,68,28,11,35
596,7,96,40,47
597,47,93,94,78
598,51,18,91,53
599,84,6,19,36
600,100,9,99,69
601,96,51,20,55
602,32,14,72,39
603,78,92,72,80
604,39,79,87,68
605,78,97,77,84
606,55,47,86,62
607,48,18,46,37
608,65,55,44,54
609,19,56,82,52
610,56,18,96,56
611,15,50,18,27
612,73,19,74,55
613,80,17,97,64
614,1,20,100,40
615,82,25,92,66
616,82,10,64,52
617,42,34,29,35
618,54,43,55,50
619,54,76,30,53
620,3,5,36,14
621,34,18,47,33
622,9,29,57,31
623,66,1,71,46
624,19,94,93,68
625,20,52,83,51
626,23,49,61,44
627,26,57,18,33
628,54,58,29,47
629,69,58,21,49
630,68,70,100,79
631,14,37,50,33
632,57,85,49,63
633,11,15,25,17
634,80,26,97,67
635,56,49,46,50
636,37,25,58,40
637,6,20,91,39
638,88,30,70,62
639,87,15,7,36
640,84,42,80,68
641,82,10,81,57
642,51,30,3,28
643,21,38,8,22
644,38,87,63,62
645,20,81,21,40
646,33,93,44,56
647,30,29,98,52
648,95,53,54,67
649,0,45,21,22
650,68,72,43,61
651,34,33,96,54
652,11,47,100,52
653,32,49,7,29
654,26,35,89,50
655,97,6,31,44
656,45,64,0,36
657,24,48,23,31
658,62,8,85,51
659,81,8,45,44
660,36,56,4,32
661,90,28,53,57
662,1,2,93,32
663,51,85,84,73
664,15,97,65,59
665,25,1,79,35
666,60,13,31,34
667,97,68,45,70
668,15,76,68,53
669,87,12,87,62
670,3,31,36,23
671,67,86,21,58
672,40,73,27,46
673,78,94,0,57
674,99,19,1,39
675,82,60,42,61
676,58,87,11,52
677,53,39,66,52
678,56,91,48,65
679,90,48,62,66
680,47,58,68,57
681,17,72,30,39
682,65,43,13,40
683,39,34,10,27
684,9,42,36,29
685,66,71,73,70
686,70,99,56,75
687,4,35,42,27
688,30,39,91,53
689,9,25,30,21
690,68,12,1,27
691,38,93,36,55
692,85,92,22,66
693,97,68,18,61
694,69,87,36,64
695,36,100,4,46
696,88,78,1,55
697,45,66,30,47
698,64,4,72,46
699,82,99,84,88
700,51,43,32,42
701,13,46,2,20
702,66,88,92,82
703,72,61,98,77
704,17,8,2,9
705,90,33,64,62
706,96,38,65,66
707,47,72,46,55
708,62,4,8,24
709,58,25,85,56
710,68,4,14,28
711,29,9,85,41
712,10,25,92,42
713,85,91,58,78
714,11,24,95,43
715,9,43,29,27
716,8,92,39,46
717,89,54,20,54
718,57,2,72,43
719,78,63,25,55
720,6,68,93,55
721,83,44,55,60
722,16,69,84,56
723,56,80,74,70
724,53,80,42,58
725,21,81,92,64
726,69,27,96,64
727,90,85,61,78
728,53,87,23,54
729,51,75,76,67
730,93,21,56,56
731,54,83,81,72
732,6,82,40,42
733,15,35,86,45
734,79,18,64,53
735,77,58,7,47
736,56,24,54,44
737,78,97,96,90
738,54,48,33,45
739,97,48,94,79
740,93,80,95,89
741,77,16,17,36
742,22,27,93,47
743,8,89,62,53
744,69,22,81,57
745,33,88,47,56
746,7,39,22,22
747,91,10,99,66
748,56,53,87,65
749,48,19,3,23
750,14,89,59,54
751,7,68,48,41
752,62,75,5,47
753,45,67,36,49
754,93,29,94,72
755,35,78,86,66
756,62,54,28,48
757,48,59,99,68
758,68,7,10,28
759,42,75,2,39
760,60,63,1,41
761,20,100,49,56
762,9,15,86,36
763,87,11,79,59
764,40,59,46,48
765,58,11,81,50
766,100,39,76,71
767,80,29,31,46
768,65,36,30,43
769,0,15,10,8
770,27,88,63,59
771,87,13,66,55
772,99,55,86,80
773,69,75,71,71
774,13,62,15,30
775,46,2,38,28
776,72,85,80,79
777,11,63,48,40
778,96,64,97,85
779,72,74,64,70
780,80,100,28,69
781,44,18,42,34
782,43,95,79,72
783,31,54,89,58
784,83,57,4,48
785,21,25,39,28
786,0,68,48,38
787,58,26,85,56
788,92,30,12,44
789,68,53,4,41
790,35,79,47,53
791,26,33,56,38
792,87,44,13,48
793,64,10,36,36
794,36,77,37,50
795,76,52,32,53
796,23,14,33,23
797,8,32,56,32
798,97,81,46,74
799,40,53,25,39
800,3,31,92,42
801,47,34,20,33
802,14,59,17,30
803,70,24,71,55
804,15,44,93,50
805,41,81,41,54
806,12,38,83,44
807,9,92,6,35
808,10,24,87,40
809,11,97,18,42
810,90,42,14,48
811,63,50,58,57
812,29,44,83,52
813,28,35,99,54
814,6,56,25,29
815,44,94,53,63
816,58,56,78,64
817,94,58,20,57
818,93,16,24,44
819,58,8,3,23
820,70,9,38,39
821,13,40,96,49
822,50,17,73,46
823,99,40,7,48
824,34,82,71,62
825,7,81,17,35
826,26,93,87,68
827,88,36,67,63
828,98,43,26,55
829,44,70,79,64
830,11,34,14,19
831,19,22,59,33
832,37,70,3,36
833,20,28,18,22
834,95,56,87,79
835,93,61,14,56
836,69,3,11,27
837,75,61,76,70
838,51,74,100,75
839,22,53,88,54
840,56,86,1,47
841,8,16,9,11
842,48,33,85,55
843,38,9,52,33
844,92,46,31,56
845,34,43,14,30
846,61,55,45,53
847,70,41,36,49
848,60,41,21,40
849,78,91,48,72
850,81,34,29,48
851,42,84,30,52
852,14,68,3,28
853,29,26,64,39
854,3,65,100,56
855,75,33,28,45
856,6,79,10,31
857,95,28,69,64
858,77,46,3,42
859,12,3,23,12
860,47,24,1,24
861,74,71,55,66
862,52,11,70,44
863,65,67,66,66
864,93,48,88,76
865,68,56,60,61
866,2,11,9,7
867,92,100,43,78
868,12,58,42,37
869,44,35,17,32
870,12,52,99,54
871,28,40,2,23
872,64,53,88,68
873,25,74,86,61
874,55,92,46,64
875,39,51,12,34
876,78,38,92,69
877,71,28,91,63
878,9,61,73,47
879,59,48,34,47
880,66,5,5,25
881,93,20,36,49
882,11,12,14,12
883,35,49,73,52
884,20,45,42,35
885,12,82,99,64
886,99,82,71,84
887,77,3,88,56
888,31,89,51,57
889,28,98,59,61
890,18,45,87,50
891,53,89,94,78
892,14,1,74,29
893,42,96,92,76
894,28,37,72,45
895,25,19,96,46
896,52,89,22,54
897,49,45,36,43
898,45,85,69,66
899,64,35,70,56
900,22,4,83,36
901,96,85,11,64
902,66,46,91,67
903,74,36,35,48
904,83,72,80,78
905,56,59,81,65
906,26,71,7,34
907,92,23,0,38
908,4,20,56,26
909,6,52,52,36
910,73,13,22,36
911,100,47,51,66
912,69,81,36,62
913,69,74,10,51
914,72,78,49,66
915,11,33,91,45
916,72,32,25,43
917,2,10,85,32
918,85,7,3,31
919,5,25,29,19
920,86,58,92,78
921,1,35,59,31
922,88,44,55,62
923,24,62,8,31
924,48,9,31,29
925,96,0,23,39
926,84,28,82,64
927,29,95,91,71
928,66,15,60,47
929,1,48,44,31
930,69,92,60,73
931,19,1,66,28
932,74,47,75,65
933,63,12,36,37
934,29,15,46,30
935,65,10,41,38
936,1,43,92,45
937,48,30,14,30
938,0,26,11,12
939,31,53,58,47
940,85,70,49,68
941,23,65,95,61
942,47,76,43,55
943,91,14,28,44
944,20,59,78,52
945,15,13,99,42
946,46,0,4,16
947,77,30,42,49
948,56,13,92,53
949,95,31,84,70
950,74,6,16,32
951,80,44,8,44
952,14,42,69,41
953,52,11,15,26
954,60,97,84,80
955,50,4,51,35
956,47,11,97,51
957,25,2,16,14
958,46,56,65,55
959,35,11,94,46
960,99,11,76,62
961,15,43,96,51
962,75,52,93,73
963,31,89,94,71
964,78,72,89,79
965,61,64,66,63
966,1,17,6,8
967,64,42,3,36
968,64,44,4,37
969,94,64,51,69
970,20,22,66,36
971,45,89,6,46
972,87,70,74,77
973,1,62,46,36
974,89,81,7,59
975,90,30,0,40
976,54,12,58,41
977,63,85,25,57
978,33,62,4,33
979,58,96,65,73
980,55,33,83,57
981,7,77,37,40
982,4,86,2,30
983,21,18,7,15
984,27,51,64,47
985,45,59,63,55
986,48,37,90,58
987,4,75,98,59
988,32,15,32,26
989,97,1,12,36
990,68,15,86,56
991,87,62,15,54
992,79,50,95,74
993,31,11,1,14
994,26,8,4,12
995,20,68,40,42
996,31,66,94,63
997,66,30,66,54
998,84,50,61,65
999,44,11,80,45
1000,64,48,83,65
