student_id,country,grade_math,grade_science,grade_english,Final_score
339,Georgia,64,91,26,60
340,Peru,68,36,66,56
341,Philippines,89,47,89,75
342,Philippines,69,44,92,68
343,Venezuela,98,58,6,54
344,Peru,4,73,85,54
345,Poland,37,10,72,39
346,China,22,76,5,34
347,United States,96,36,4,45
348,Estonia,31,13,81,41
349,Portugal,22,65,42,43
350,China,82,56,99,79
351,Peru,23,91,35,49
352,China,82,7,58,49
353,Ukraine,99,53,57,69
354,Philippines,32,27,58,39
355,Russia,74,68,31,57
356,Spain,5,80,49,44
357,Bangladesh,13,48,81,47
358,Thailand,99,23,15,45
359,China,61,59,76,65
360,China,47,45,69,53
361,Indonesia,18,75,71,54
362,France,63,32,38,44
363,China,65,9,27,33
364,Portugal,4,2,71,25
365,Portugal,89,55,21,55
366,Indonesia,100,17,84,67
367,Luxembourg,84,35,20,46
368,Croatia,49,5,16,23
369,Portugal,50,94,96,80
370,Ireland,56,97,17,56
371,China,47,68,39,51
372,China,36,86,77,66
373,Belarus,89,22,93,68
374,China,80,64,5,49
375,Portugal,2,10,21,11
376,Dominican Republic,81,46,98,75
377,Brazil,74,5,55,44
378,Indonesia,44,75,29,49
379,China,42,31,49,40
380,Philippines,94,83,17,64
381,Indonesia,7,85,43,45
382,China,98,80,50,76
383,Ukraine,85,78,49,70
384,Indonesia,48,24,34,35
385,China,77,87,95,86
386,South Africa,58,12,47,39
387,Ecuador,48,28,36,37
388,Dominican Republic,85,60,57,67
389,Argentina,40,16,7,21
390,Russia,15,40,89,48
391,Slovenia,12,96,100,69
392,Greece,48,87,8,47
393,Austria,36,78,88,67
394,Canada,15,68,93,58
395,Indonesia,93,72,40,68
396,Spain,14,92,70,58
397,Philippines,5,60,22,29
398,Sweden,35,14,32,27
399,Peru,32,76,78,62
400,Brazil,16,48,37,33
401,Poland,21,32,58,37
402,China,42,61,33,45
403,Japan,59,71,73,67
404,Luxembourg,43,93,66,67
405,Colombia,53,67,79,66
406,Morocco,63,96,18,59
407,China,43,30,59,44
408,China,42,61,97,66
409,Madagascar,50,71,8,43
410,Indonesia,71,49,89,69
411,China,64,2,54,40
412,China,96,23,35,51
413,Guatemala,50,14,67,43
414,China,47,1,17,21
415,Slovenia,90,27,92,69
416,Slovenia,22,76,61,53
417,United States,17,16,0,11
418,China,52,8,72,44
419,France,57,38,28,41
420,Venezuela,61,69,28,52
421,Germany,86,0,28,38
422,Senegal,38,81,85,68
423,Colombia,12,5,19,12
424,China,78,65,24,55
425,Australia,1,41,43,28
426,Indonesia,96,44,32,57
427,Peru,20,11,65,32
428,Indonesia,45,44,34,41
429,Israel,97,94,59,83
430,Argentina,91,83,3,59
431,China,13,68,54,45
432,Poland,49,10,2,20
433,Argentina,49,20,86,51
434,China,90,35,17,47
435,United States,92,25,64,60
436,Philippines,22,12,84,39
437,Greece,0,44,17,20
438,China,58,5,23,28
439,Indonesia,2,76,78,52
440,China,54,88,18,53
441,Russia,45,75,23,47
442,Japan,65,5,61,43
443,Greece,39,10,91,46
444,Indonesia,37,40,91,56
445,Poland,80,75,1,52
446,Czech Republic,62,79,27,56
447,China,85,72,19,58
448,Russia,56,63,3,40
449,Russia,24,67,57,49
450,Philippines,12,9,64,28
451,Brazil,98,14,11,41
452,Syria,74,41,33,49
453,Finland,23,1,26,16
454,Kazakhstan,91,0,40,43
455,Russia,97,12,48,52
456,China,37,37,45,39
457,Russia,56,11,12,26
458,Peru,41,78,18,45
459,China,94,21,15,43
460,China,23,23,89,45
461,Indonesia,13,29,85,42
462,Philippines,21,6,47,24
463,Sweden,92,76,6,58
464,France,55,2,93,50
465,Mongolia,34,95,5,44
466,Sweden,54,41,15,36
467,Vietnam,3,23,35,20
468,Ireland,15,75,6,32
469,Indonesia,31,7,62,33
470,Serbia,80,13,39,44
471,Panama,72,91,97,86
472,Mongolia,90,98,67,85
473,Portugal,79,23,65,55
474,Sweden,61,46,69,58
475,Poland,52,16,45,37
476,Latvia,69,20,41,43
477,Peru,90,2,78,56
478,Guatemala,72,31,74,59
479,Czech Republic,51,99,99,83
480,Malta,31,35,24,30
481,Colombia,57,21,23,33
482,Chile,25,61,66,50
483,Canada,30,100,96,75
484,United States,54,24,67,48
485,Russia,5,85,26,38
486,Indonesia,90,76,7,57
487,Spain,29,30,67,42
488,Indonesia,12,2,22,12
489,Malaysia,81,100,68,83
490,China,80,60,37,59
491,China,1,51,50,34
492,Haiti,11,18,98,42
493,Brazil,22,28,22,24
494,Israel,56,12,39,35
495,Portugal,55,72,13,46
496,Sweden,32,89,38,53
497,China,75,7,89,57
498,Portugal,70,97,66,77
499,Indonesia,78,88,68,78
500,Mexico,42,63,46,50
501,China,23,96,92,70
502,China,48,59,8,38
503,France,81,39,16,45
504,China,45,58,24,42
505,Ukraine,44,52,17,37
506,Sweden,61,92,47,66
507,Philippines,92,52,58,67
508,Indonesia,58,84,69,70
509,Indonesia,21,22,92,45
510,Bulgaria,54,96,52,67
511,Russia,26,10,29,21
512,Honduras,55,78,44,59
513,Indonesia,44,31,72,49
514,Iran,24,59,75,52
515,Ukraine,7,64,30,33
516,Canada,71,2,69,47
517,Venezuela,60,25,39,41
518,Philippines,12,79,4,31
519,Micronesia,53,100,36,63
520,Brazil,55,46,86,62
521,Ukraine,50,98,7,51
522,Russia,84,75,74,77
523,South Africa,32,99,7,46
524,China,57,16,35,36
525,Peru,87,45,52,61
526,Dominican Republic,42,74,63,59
527,Russia,24,49,94,55
528,China,17,40,69,42
529,China,85,52,43,60
530,Denmark,73,24,55,50
531,China,78,98,88,88
532,Indonesia,38,29,62,43
533,Russia,3,87,47,45
534,China,30,36,43,36
535,Nicaragua,52,5,43,33
536,Brazil,28,31,65,41
537,China,59,58,91,69
538,Indonesia,5,90,52,49
539,Vietnam,29,90,29,49
540,United States,18,11,83,37
541,China,36,15,20,23
542,China,37,16,99,50
543,Cameroon,74,47,25,48
544,China,60,98,37,65
545,Macedonia,61,59,39,53
546,Indonesia,27,26,2,18
547,France,89,84,39,70
548,Greece,22,83,85,63
549,Armenia,89,39,92,73
550,China,46,94,84,74
551,Slovenia,0,98,51,49
552,Portugal,80,51,13,48
553,China,59,79,51,63
554,Nigeria,22,59,63,48
555,Portugal,23,86,34,47
556,China,36,91,37,54
557,Canada,84,79,84,82
558,Mongolia,71,72,86,76
559,Brazil,99,67,27,64
560,China,3,49,49,33
561,Brazil,91,21,6,39
562,Philippines,72,44,38,51
563,Indonesia,21,51,42,38
564,Ukraine,72,21,93,62
565,Jordan,22,51,65,46
566,Japan,4,81,81,55
567,Russia,35,5,14,18
568,France,27,87,16,43
569,Indonesia,13,53,35,33
570,Indonesia,93,95,29,72
571,France,28,96,22,48
572,Ukraine,17,98,34,49
573,Philippines,68,95,82,81
574,China,5,62,86,51
575,Japan,96,92,1,63
576,China,76,89,96,87
577,Cameroon,97,71,15,61
578,Nigeria,18,3,45,22
579,Kuwait,23,28,26,25
580,Central African Republic,16,30,50,32
581,Portugal,94,87,64,81
582,Bosnia and Herzegovina,49,1,11,20
583,Mexico,22,93,100,71
584,China,97,66,75,79
585,Indonesia,94,80,57,77
586,Armenia,58,58,73,63
587,Brazil,12,12,97,40
588,Kuwait,70,85,10,55
589,Russia,1,61,25,29
590,United States,29,38,20,29
591,Argentina,43,95,63,67
592,United States,81,28,18,42
593,Indonesia,61,24,69,51
594,Czech Republic,81,62,45,62
595,China,68,28,11,35
596,Japan,7,96,40,47
597,Argentina,47,93,94,78
598,Indonesia,51,18,91,53
599,China,84,6,19,36
600,Brazil,100,9,99,69
601,Colombia,96,51,20,55
602,Poland,32,14,72,39
603,Japan,78,92,72,80
604,Russia,39,79,87,68
605,Croatia,78,97,77,84
606,Philippines,55,47,86,62
607,Argentina,48,18,46,37
608,Brazil,65,55,44,54
609,Sweden,19,56,82,52
610,France,56,18,96,56
611,Iran,15,50,18,27
612,Russia,73,19,74,55
613,Indonesia,80,17,97,64
614,Brazil,1,20,100,40
615,Russia,82,25,92,66
616,Indonesia,82,10,64,52
617,Canada,42,34,29,35
618,France,54,43,55,50
619,Indonesia,54,76,30,53
620,China,3,5,36,14
621,Macedonia,34,18,47,33
622,Guam,9,29,57,31
623,Portugal,66,1,71,46
624,Poland,19,94,93,68
625,China,20,52,83,51
626,Botswana,23,49,61,44
627,Nigeria,26,57,18,33
628,Yemen,54,58,29,47
629,Brazil,69,58,21,49
630,China,68,70,100,79
631,Greece,14,37,50,33
632,China,57,85,49,63
633,Russia,11,15,25,17
634,Indonesia,80,26,97,67
635,Poland,56,49,46,50
636,China,37,25,58,40
637,Philippines,6,20,91,39
638,France,88,30,70,62
639,Brazil,87,15,7,36
640,Russia,84,42,80,68
641,China,82,10,81,57
642,China,51,30,3,28
643,Canada,21,38,8,22
644,Latvia,38,87,63,62
645,Indonesia,20,81,21,40
646,Macedonia,33,93,44,56
647,South Korea,30,29,98,52
648,China,95,53,54,67
649,Malta,0,45,21,22
650,Comoros,68,72,43,61
651,Portugal,34,33,96,54
652,Russia,11,47,100,52
653,China,32,49,7,29
654,Brazil,26,35,89,50
655,Philippines,97,6,31,44
656,Czech Republic,45,64,0,36
657,Philippines,24,48,23,31
658,New Zealand,62,8,85,51
659,Egypt,81,8,45,44
660,China,36,56,4,32
661,Finland,90,28,53,57
662,United States,1,2,93,32
663,China,51,85,84,73
664,Honduras,15,97,65,59
665,Argentina,25,1,79,35
666,Senegal,60,13,31,34
667,United States,97,68,45,70
668,Ivory Coast,15,76,68,53
669,Sweden,87,12,87,62
670,China,3,31,36,23
671,Ukraine,67,86,21,58
672,China,40,73,27,46
673,China,78,94,0,57
674,Russia,99,19,1,39
675,Czech Republic,82,60,42,61
676,Cuba,58,87,11,52
677,Peru,53,39,66,52
678,Czech Republic,56,91,48,65
679,Colombia,90,48,62,66
680,Indonesia,47,58,68,57
681,Norway,17,72,30,39
682,China,65,43,13,40
683,Czech Republic,39,34,10,27
684,Nigeria,9,42,36,29
685,China,66,71,73,70
686,Philippines,70,99,56,75
687,China,4,35,42,27
688,Malaysia,30,39,91,53
689,Indonesia,9,25,30,21
690,Indonesia,68,12,1,27
691,China,38,93,36,55
692,Ukraine,85,92,22,66
693,Democratic Republic of the Congo,97,68,18,61
694,Peru,69,87,36,64
695,Ivory Coast,36,100,4,46
696,Sweden,88,78,1,55
697,Philippines,45,66,30,47
698,Philippines,64,4,72,46
699,China,82,99,84,88
700,Tanzania,51,43,32,42
701,Nigeria,13,46,2,20
702,Greece,66,88,92,82
703,Greece,72,61,98,77
704,Israel,17,8,2,9
705,China,90,33,64,62
706,Ecuador,96,38,65,66
707,Bosnia and Herzegovina,47,72,46,55
708,China,62,4,8,24
709,Morocco,58,25,85,56
710,Philippines,68,4,14,28
711,Philippines,29,9,85,41
712,Philippines,10,25,92,42
713,Lithuania,85,91,58,78
714,Philippines,11,24,95,43
715,Netherlands,9,43,29,27
716,China,8,92,39,46
717,United States,89,54,20,54
718,Indonesia,57,2,72,43
719,Malaysia,78,63,25,55
720,South Africa,6,68,93,55
721,Russia,83,44,55,60
722,Zimbabwe,16,69,84,56
723,Mongolia,56,80,74,70
724,Azerbaijan,53,80,42,58
725,Canada,21,81,92,64
726,France,69,27,96,64
727,Dominican Republic,90,85,61,78
728,Thailand,53,87,23,54
729,Portugal,51,75,76,67
730,China,93,21,56,56
731,Libya,54,83,81,72
732,China,6,82,40,42
733,United States,15,35,86,45
734,Brazil,79,18,64,53
735,China,77,58,7,47
736,China,56,24,54,44
737,Indonesia,78,97,96,90
738,Liberia,54,48,33,45
739,Poland,97,48,94,79
740,China,93,80,95,89
741,France,77,16,17,36
742,Indonesia,22,27,93,47
743,Brazil,8,89,62,53
744,Kyrgyzstan,69,22,81,57
745,Cuba,33,88,47,56
746,Vietnam,7,39,22,22
747,China,91,10,99,66
748,China,56,53,87,65
749,Ukraine,48,19,3,23
750,Israel,14,89,59,54
751,China,7,68,48,41
752,Russia,62,75,5,47
753,China,45,67,36,49
754,Guatemala,93,29,94,72
755,Indonesia,35,78,86,66
756,Tunisia,62,54,28,48
757,United States,48,59,99,68
758,Thailand,68,7,10,28
759,Indonesia,42,75,2,39
760,Philippines,60,63,1,41
761,China,20,100,49,56
762,Philippines,9,15,86,36
763,China,87,11,79,59
764,Sweden,40,59,46,48
765,Bulgaria,58,11,81,50
766,Venezuela,100,39,76,71
767,United States,80,29,31,46
768,Peru,65,36,30,43
769,Colombia,0,15,10,8
770,Canada,27,88,63,59
771,Kuwait,87,13,66,55
772,Argentina,99,55,86,80
773,Martinique,69,75,71,71
774,Poland,13,62,15,30
775,Brazil,46,2,38,28
776,Nigeria,72,85,80,79
777,France,11,63,48,40
778,Greece,96,64,97,85
779,Russia,72,74,64,70
780,United States,80,100,28,69
781,Portugal,44,18,42,34
782,Czech Republic,43,95,79,72
783,Togo,31,54,89,58
784,Mexico,83,57,4,48
785,Russia,21,25,39,28
786,Jordan,0,68,48,38
787,Albania,58,26,85,56
788,Indonesia,92,30,12,44
789,Poland,68,53,4,41
790,China,35,79,47,53
791,Philippines,26,33,56,38
792,Uzbekistan,87,44,13,48
793,Russia,64,10,36,36
794,Nigeria,36,77,37,50
795,Indonesia,76,52,32,53
796,Brazil,23,14,33,23
797,Afghanistan,8,32,56,32
798,Peru,97,81,46,74
799,Nigeria,40,53,25,39
800,Serbia,3,31,92,42
801,Chile,47,34,20,33
802,Poland,14,59,17,30
803,Colombia,70,24,71,55
804,United States,15,44,93,50
805,Philippines,41,81,41,54
806,Poland,12,38,83,44
807,Lithuania,9,92,6,35
808,Saudi Arabia,10,24,87,40
809,Bulgaria,11,97,18,42
810,China,90,42,14,48
811,Indonesia,63,50,58,57
812,Morocco,29,44,83,52
813,Argentina,28,35,99,54
814,Colombia,6,56,25,29
815,United States,44,94,53,63
816,Morocco,58,56,78,64
817,Thailand,94,58,20,57
818,Bosnia and Herzegovina,93,16,24,44
819,China,58,8,3,23
820,Ireland,70,9,38,39
821,Poland,13,40,96,49
822,Czech Republic,50,17,73,46
823,Poland,99,40,7,48
824,China,34,82,71,62
825,Croatia,7,81,17,35
826,Indonesia,26,93,87,68
827,China,88,36,67,63
828,Chile,98,43,26,55
829,United States,44,70,79,64
830,Peru,11,34,14,19
831,Peru,19,22,59,33
832,Ukraine,37,70,3,36
833,Peru,20,28,18,22
834,Peru,95,56,87,79
835,China,93,61,14,56
836,China,69,3,11,27
837,Brazil,75,61,76,70
838,Portugal,51,74,100,75
839,Canada,22,53,88,54
840,Thailand,56,86,1,47
841,Madagascar,8,16,9,11
842,United States,48,33,85,55
843,United Kingdom,38,9,52,33
844,Pakistan,92,46,31,56
845,Peru,34,43,14,30
846,Portugal,61,55,45,53
847,Finland,70,41,36,49
848,Costa Rica,60,41,21,40
849,Luxembourg,78,91,48,72
850,France,81,34,29,48
851,Indonesia,42,84,30,52
852,China,14,68,3,28
853,Brazil,29,26,64,39
854,China,3,65,100,56
855,China,75,33,28,45
856,Mayotte,6,79,10,31
857,Paraguay,95,28,69,64
858,Indonesia,77,46,3,42
859,Slovenia,12,3,23,12
860,Indonesia,47,24,1,24
861,Sweden,74,71,55,66
862,Russia,52,11,70,44
863,Argentina,65,67,66,66
864,South Africa,93,48,88,76
865,Argentina,68,56,60,61
866,Sweden,2,11,9,7
867,China,92,100,43,78
868,Honduras,12,58,42,37
869,China,44,35,17,32
870,Peru,12,52,99,54
871,Philippines,28,40,2,23
872,France,64,53,88,68
873,South Korea,25,74,86,61
874,South Africa,55,92,46,64
875,Russia,39,51,12,34
876,Bolivia,78,38,92,69
877,Indonesia,71,28,91,63
878,Brazil,9,61,73,47
879,France,59,48,34,47
880,Ethiopia,66,5,5,25
881,United States,93,20,36,49
882,France,11,12,14,12
883,Dominican Republic,35,49,73,52
884,Russia,20,45,42,35
885,Ireland,12,82,99,64
886,Czech Republic,99,82,71,84
887,Poland,77,3,88,56
888,Indonesia,31,89,51,57
889,Russia,28,98,59,61
890,China,18,45,87,50
891,Finland,53,89,94,78
892,Sri Lanka,14,1,74,29
893,Philippines,42,96,92,76
894,Philippines,28,37,72,45
895,Czech Republic,25,19,96,46
896,Indonesia,52,89,22,54
897,China,49,45,36,43
898,China,45,85,69,66
899,Russia,64,35,70,56
900,Sweden,22,4,83,36
901,Azerbaijan,96,85,11,64
902,Russia,66,46,91,67
903,Russia,74,36,35,48
904,Indonesia,83,72,80,78
905,Vietnam,56,59,81,65
906,Myanmar,26,71,7,34
907,Portugal,92,23,0,38
908,Vietnam,4,20,56,26
909,Poland,6,52,52,36
910,Spain,73,13,22,36
911,China,100,47,51,66
912,Afghanistan,69,81,36,62
913,China,69,74,10,51
914,Ukraine,72,78,49,66
915,Sweden,11,33,91,45
916,Pakistan,72,32,25,43
917,Vietnam,2,10,85,32
918,China,85,7,3,31
919,Zambia,5,25,29,19
920,United States,86,58,92,78
921,China,1,35,59,31
922,Nigeria,88,44,55,62
923,Brazil,24,62,8,31
924,China,48,9,31,29
925,Indonesia,96,0,23,39
926,China,84,28,82,64
927,Philippines,29,95,91,71
928,Botswana,66,15,60,47
929,Indonesia,1,48,44,31
930,Indonesia,69,92,60,73
931,Indonesia,19,1,66,28
932,Indonesia,74,47,75,65
933,Cuba,63,12,36,37
934,United States,29,15,46,30
935,United States,65,10,41,38
936,China,1,43,92,45
937,Ireland,48,30,14,30
938,Greece,0,26,11,12
939,Mexico,31,53,58,47
940,Philippines,85,70,49,68
941,Portugal,23,65,95,61
942,Portugal,47,76,43,55
943,China,91,14,28,44
944,Finland,20,59,78,52
945,Brazil,15,13,99,42
946,China,46,0,4,16
947,Russia,77,30,42,49
948,China,56,13,92,53
949,Tanzania,95,31,84,70
950,Russia,74,6,16,32
951,Switzerland,80,44,8,44
952,Indonesia,14,42,69,41
953,Peru,52,11,15,26
954,Mexico,60,97,84,80
955,China,50,4,51,35
956,China,47,11,97,51
957,Vietnam,25,2,16,14
958,Mongolia,46,56,65,55
959,Ukraine,35,11,94,46
960,Argentina,99,11,76,62
